app_type_code,finance_custom_income_type_desc,asset_type_desc,mean_type_desc,business_type_desc,scene_desc,consume_unt_1d,consume_cnt_1d,consume_amt_1d,cost_amt_1d,subsidy_amt_1d,system_give_amt_1d,system_give_tebean_amt_1d,system_give_gift_amt_1d,system_give_prop_amt_1d,system_give_daibi_amt_1d,return_cnt_1d,return_amt_1d,return_cost_amt_1d,return_subsidy_amt_1d,revenue_amt_1d,cost_revenue_amt_1d,subsidy_revenue_amt_1d,personal_income_amt_1d,profit_amt_1d,dt
taqu,活动补贴,全部,finance,帖子,送礼,1710,903,207619,392141.69,418561.81,5627,,49715,48261,,1178,31155,42743,41897,81387,86275.98,140390.93,66192,104865.1,20260130
peipei,活动补贴,全部,finance,帖子,视频,781,3360,290087,24409.94,314214.76,16648,,28566,42919,,100,5427,41534,33171,17608,137297.15,396816.94,103040,181997.87,20260130
peipei,礼物收入,shell_asset,finance,直播,视频,1531,1982,196465,397280.26,263491.78,26230,,48946,31848,,1901,22670,21384,17118,142902,208414.43,7886.26,128475,117154.11,20260130
fengyue,分成收入,shell_asset,business,直播,贝壳分成,1688,3300,331870,350257.57,247886.3,3150,,41230,21807,,422,25892,45663,19589,327182,286692.79,53542.77,362216,30631.4,20260130
peipei,分成收入,shell_asset,finance,家族,游戏,746,348,89502,490557.59,439739.47,23423,,21035,47359,,1717,43015,14254,36508,128922,430447.68,336788.81,238020,68036.82,20260130
shanlian,礼物收入,tqbean_asset,business,趣聊,充值,853,2128,114055,471196.52,185390.25,31306,,42031,33554,,590,49046,25914,165,233733,280589.33,388380.77,11731,166237.9,20260130
shanlian,礼物收入,全部,finance,聊天室,视频,989,3069,194157,34260.84,286293.31,45088,,18175,19591,,1625,20107,39584,10827,177761,103004.33,50155.13,481114,55118.53,20260130
peipei,充值收入,全部,business,趣聊,贝壳分成,1168,3898,142665,219987.4,217186.53,24853,,20921,38164,,985,1228,23700,21374,158855,362642.1,131661.99,416175,141672.64,20260130
shanlian,分成收入,全部,business,帖子,贝壳分成,1008,834,176310,429911.7,400351.55,11450,,9231,47574,,1699,38159,17408,40140,450151,448797.4,243438.44,496295,189892.31,20260130
shantang,礼物收入,shell_asset,finance,社交,语音,1215,3799,244643,62494.68,25476.6,3128,,7195,8065,,1317,16532,30300,29809,450262,114358.09,143868.2,137798,48078.39,20260130
taqu,分成收入,tqbean_asset,finance,社交,语音,1930,2992,245523,480962.13,168383.23,16682,,6806,14630,,553,42477,47921,41541,255746,154510.3,196753.95,172385,175107.24,20260130
shanlian,充值收入,全部,business,全端,充值,486,1184,281231,183359.28,186439.65,36220,,1156,44181,,1192,22545,31849,48944,313421,150705.94,243899.56,486521,100317.02,20260130
fengyue,礼物收入,tqbean_asset,business,群聊,贝壳分成,1311,963,407211,96708.36,83822.14,13985,,48605,48238,,1611,41817,19788,29100,986,150291.51,232507.01,131922,80089.43,20260130
peipei,礼物收入,shell_asset,business,全端,贝壳分成,1208,4007,377678,404678.75,410257.54,16092,,19060,8158,,715,46769,20928,37480,178281,497347.0,259100.77,113640,99862.74,20260130
shanlian,分成收入,tqbean_asset,finance,家族,视频,52,1564,319020,412322.82,50386.47,5100,,30154,22802,,1388,2047,43191,2576,397399,52430.08,374852.33,492892,76643.52,20260130
peipei,礼物收入,shell_asset,business,社交,贝壳分成,1223,1458,495011,264501.04,156908.03,6413,,26074,46113,,224,49103,23931,37899,424894,390296.75,332291.24,404042,158292.23,20260130
peipei,分成收入,shell_asset,finance,群聊,语音,405,3509,255227,499928.59,184007.21,44158,,23333,46086,,1217,26707,2980,32050,30300,227227.29,66419.71,282240,42879.75,20260130
taqu,充值收入,shell_asset,finance,帖子,充值,1253,59,39012,136052.48,23564.17,30677,,20308,10811,,1300,20300,40270,14857,226604,202594.29,336186.05,117973,62729.65,20260130
peipei,分成收入,tqbean_asset,business,群聊,游戏,1972,183,102769,351796.84,427077.09,43749,,721,43528,,1872,29902,44141,47245,119709,402296.36,387089.7,229089,168696.18,20260130
peipei,分成收入,tqbean_asset,finance,趣聊,语音,371,3400,124405,448463.38,235437.78,38751,,17328,46369,,289,33199,34281,25581,225005,469487.17,51843.11,424803,25251.16,20260130
shantang,充值收入,tqbean_asset,business,帖子,贝壳分成,1346,1363,168962,433368.59,402552.01,5413,,7091,38376,,1617,42068,35818,37198,422591,489224.97,421450.94,424679,123739.26,20260130
shanlian,活动补贴,shell_asset,business,群聊,贝壳分成,1288,2235,197940,457356.78,350033.24,11853,,24561,44986,,573,18770,5007,7168,273034,48777.87,386232.7,279090,133146.54,20260130
shanlian,充值收入,shell_asset,business,聊天室,充值,1046,149,360264,169063.71,28969.34,36216,,42471,42170,,205,45220,38870,14181,233077,418750.67,361138.52,268955,60181.65,20260130
taqu,分成收入,tqbean_asset,business,社交,视频,1373,1102,86933,13950.65,37250.4,43376,,34224,15979,,497,21210,17495,3910,471544,48722.96,92292.05,88596,108340.53,20260130
fengyue,充值收入,tqbean_asset,business,直播,视频,1884,2384,245740,453968.82,23104.94,37552,,692,27642,,1361,31664,28540,7104,284931,118619.17,232516.05,75697,148092.52,20260130
shanlian,分成收入,shell_asset,business,直播,贝壳分成,1716,538,333713,208017.99,479230.56,32701,,9652,2739,,1117,34311,33826,25870,294080,24662.87,149902.18,262670,77986.2,20260130
peipei,礼物收入,tqbean_asset,finance,帖子,视频,1730,2436,343063,164253.24,200302.84,40288,,28141,30622,,223,38589,40165,5460,210385,18502.49,358962.02,358972,150546.3,20260130
peipei,分成收入,shell_asset,finance,直播,游戏,1473,3985,338256,7732.91,149183.9,22039,,43385,7503,,1968,39071,29532,44739,27829,61691.41,34575.66,452657,74752.74,20260130
peipei,充值收入,shell_asset,finance,聊天室,游戏,801,3805,5649,231185.77,87575.76,21765,,16161,4389,,509,41786,26081,47751,72638,390479.43,170464.05,90110,80305.82,20260130
taqu,充值收入,tqbean_asset,business,趣聊,游戏,1505,205,288569,353919.5,227747.8,18110,,33711,685,,1771,39549,15198,13040,405118,496827.35,272618.19,396364,100697.11,20260130
shanlian,礼物收入,tqbean_asset,business,帖子,语音,918,1960,464199,401718.59,425641.52,31458,,20414,22155,,772,37611,14265,45237,370156,172580.58,12999.15,85419,146880.93,20260130
shanlian,礼物收入,tqbean_asset,finance,直播,充值,177,4680,173234,183821.67,475756.23,38201,,46303,31600,,1184,782,14453,22208,423638,379183.45,301449.03,52411,98556.38,20260130
fengyue,分成收入,全部,finance,聊天室,充值,66,2829,215380,250158.51,453777.34,37560,,19887,4830,,519,45786,25033,315,172993,46611.33,196080.21,283571,161830.27,20260130
peipei,充值收入,tqbean_asset,business,家族,视频,1144,2120,60452,378027.08,226772.76,26457,,29983,30460,,892,3974,615,25413,146703,112220.34,162298.7,343961,168558.32,20260130
peipei,充值收入,tqbean_asset,business,全端,充值,91,1864,118383,88523.54,290072.06,27538,,49048,47353,,924,21845,49475,32759,469833,490012.08,497272.43,178407,23262.08,20260130
taqu,活动补贴,全部,finance,社交,游戏,621,3594,380298,400996.41,421848.65,35481,,6077,22573,,40,22341,18973,10629,253571,25732.18,297175.75,444968,116735.23,20260130
shanlian,分成收入,shell_asset,finance,社交,送礼,220,419,253816,476681.58,288065.17,25703,,20098,29463,,593,44145,48705,23009,219324,170710.25,74929.03,296366,158049.77,20260130
shantang,分成收入,全部,finance,趣聊,语音,1038,2767,140699,471636.66,340150.12,49690,,13318,38008,,1246,33257,16896,44910,199347,264212.37,174437.4,218555,2281.56,20260130
fengyue,充值收入,全部,business,群聊,送礼,447,4254,69319,465744.0,390893.88,31218,,2213,40946,,1808,28882,29898,28772,312550,187292.61,20440.1,343017,41024.12,20260130
peipei,充值收入,shell_asset,finance,群聊,视频,959,4827,96331,439670.87,403948.54,29100,,4571,43914,,112,28691,49760,15621,187480,61601.35,276949.32,219908,34478.25,20260130
taqu,充值收入,shell_asset,finance,群聊,充值,474,1577,358828,470820.37,120928.19,9378,,14134,40421,,1902,15059,16530,18345,198749,11278.83,200567.78,371389,177919.4,20260130
fengyue,充值收入,全部,finance,社交,视频,1253,2816,343076,65257.37,170511.76,35237,,25676,21175,,1226,20022,5920,8948,265210,171817.27,241197.1,437593,9712.03,20260130
fengyue,活动补贴,全部,business,社交,语音,1088,3922,408877,473540.92,122704.47,7631,,37922,41402,,1566,34097,642,16772,87408,181055.0,481542.77,474225,28634.52,20260130
taqu,充值收入,shell_asset,business,家族,语音,1987,1081,191450,166510.67,14931.79,36512,,27805,36087,,1305,29270,35674,26010,14372,339367.78,21021.62,378591,118018.35,20260130
shantang,礼物收入,tqbean_asset,finance,趣聊,视频,70,762,325809,484419.42,451783.49,36712,,26298,27178,,1948,38788,37793,43373,69058,269972.79,235987.67,274980,155347.25,20260130
shantang,充值收入,全部,finance,全端,语音,1641,1290,422348,154857.59,181146.54,26784,,11382,37766,,970,43681,37842,25709,162376,150208.53,213555.15,122921,38939.62,20260130
shantang,分成收入,tqbean_asset,finance,直播,语音,160,338,93741,263535.52,156109.73,44877,,5196,9834,,301,44636,10434,47882,368736,328041.79,1813.23,379143,177489.4,20260130
shanlian,活动补贴,shell_asset,finance,社交,视频,564,4340,261247,309756.99,329274.26,45624,,4466,3640,,831,27200,8625,30570,167529,325116.98,8953.22,51209,71102.34,20260130
fengyue,活动补贴,shell_asset,finance,全端,送礼,470,3262,29046,240640.73,454273.82,22390,,19159,48165,,1908,12362,13216,877,300346,483797.67,253844.31,258689,28351.75,20260130
shantang,分成收入,全部,finance,帖子,视频,100,720,453209,129807.86,222717.11,38955,,10061,15015,,821,31812,4946,17556,388773,331829.89,171120.37,368938,19944.6,20260130
fengyue,礼物收入,shell_asset,finance,直播,贝壳分成,218,4632,226642,248175.72,490608.28,31679,,43863,8666,,1264,8462,22963,4824,299608,65347.91,59579.03,294833,30947.48,20260130
shanlian,充值收入,tqbean_asset,finance,趣聊,游戏,921,30,435861,134326.25,323722.61,12956,,49410,31235,,697,33129,10585,38888,476835,51570.31,267763.12,491734,126326.56,20260130
shanlian,礼物收入,tqbean_asset,business,家族,充值,1642,4950,338650,221815.87,141211.21,10805,,1271,30582,,1700,30113,19838,45612,450474,55349.71,395858.2,162410,182948.06,20260130
shanlian,充值收入,全部,business,全端,充值,789,1067,181312,300645.06,258565.73,35744,,15580,45423,,364,19685,42803,37690,499368,488365.8,395863.03,246324,145523.45,20260130
shantang,分成收入,shell_asset,finance,群聊,语音,608,1566,333109,152858.3,314832.29,22453,,19942,40805,,1062,32467,10799,39557,454562,188195.87,238276.46,176977,180800.72,20260130
shanlian,礼物收入,tqbean_asset,finance,帖子,充值,553,4374,339358,9381.41,148414.48,19202,,30860,38088,,1968,3313,41057,2003,378009,24919.65,143540.23,315310,13163.1,20260130
shanlian,充值收入,shell_asset,business,全端,充值,589,1374,212607,190971.5,389602.94,45473,,9071,8250,,535,38921,10078,2166,115775,206295.69,299797.68,27814,119086.55,20260130
taqu,礼物收入,tqbean_asset,business,社交,充值,955,1980,57007,472111.37,56824.44,30154,,12081,11945,,636,4314,16949,32200,454182,164129.41,285788.94,413117,2549.65,20260130
taqu,活动补贴,tqbean_asset,finance,聊天室,充值,675,4321,386380,136448.69,400563.68,10720,,10349,37696,,1305,15883,49916,42426,399493,161520.96,208628.15,217809,182318.76,20260130
fengyue,礼物收入,shell_asset,finance,全端,游戏,40,1382,87117,215638.1,456387.87,48611,,19739,30472,,1596,15484,26390,21262,5556,21353.03,101396.18,317253,112553.52,20260130
peipei,礼物收入,shell_asset,business,直播,视频,832,553,453333,420355.53,155882.07,9545,,29596,32980,,510,48335,46246,21291,166775,129903.8,469170.21,374550,184215.39,20260130
shantang,礼物收入,shell_asset,business,帖子,游戏,294,501,385198,216433.97,475182.3,17540,,37414,14721,,402,20039,15151,44820,301239,200122.76,9612.36,167491,170734.33,20260130
peipei,活动补贴,tqbean_asset,business,趣聊,游戏,1421,1822,175308,228336.8,124059.99,33485,,6462,14504,,40,31549,15233,18168,178460,124276.06,449073.11,356103,41638.28,20260130
shantang,分成收入,shell_asset,finance,帖子,充值,312,2401,397490,237826.56,126749.04,41519,,37359,35306,,390,46830,30057,10307,28817,120863.76,173420.37,169972,183170.9,20260130
fengyue,充值收入,tqbean_asset,finance,直播,语音,196,232,255576,354350.89,182818.76,23363,,21251,35017,,110,38519,17483,41553,366091,26163.62,75942.73,469427,129526.06,20260130
shanlian,分成收入,shell_asset,finance,家族,送礼,1215,1280,194686,406506.11,427925.46,8624,,21020,15241,,1640,2332,31871,33873,39514,293191.27,422240.25,431119,195450.75,20260130
shanlian,活动补贴,全部,finance,直播,贝壳分成,1410,2540,320465,480499.0,465800.3,4481,,40401,46723,,225,21835,45351,32585,450007,378225.23,178971.16,497755,24255.3,20260130
fengyue,充值收入,tqbean_asset,finance,群聊,语音,838,2015,9148,419947.78,215291.64,48823,,26903,8790,,1374,43883,35156,43065,191199,445888.65,358059.47,124490,63188.55,20260130
taqu,分成收入,shell_asset,finance,直播,语音,85,2368,80657,27367.48,303556.7,43222,,25258,32831,,1367,42738,27526,39036,233513,230289.57,38673.23,99534,137167.72,20260130
fengyue,礼物收入,全部,finance,直播,送礼,90,644,480489,142264.79,377155.15,48020,,6294,3280,,443,39314,9751,31823,435713,256722.12,250418.3,51465,107589.4,20260130
shantang,活动补贴,shell_asset,finance,直播,视频,1921,1991,290907,261501.36,203815.89,33309,,31007,46381,,1502,23089,5806,34566,428500,342525.75,466298.25,488093,119176.9,20260130
shanlian,分成收入,shell_asset,business,直播,游戏,1098,1313,199330,239316.48,262002.7,788,,31402,10229,,999,10262,116,47448,334662,491757.95,56129.92,350625,188727.92,20260130
shanlian,充值收入,全部,finance,全端,视频,431,2881,220187,141358.93,233055.01,14632,,47654,47476,,1599,1886,34961,14545,26065,384323.26,301830.22,499279,176861.59,20260130
peipei,礼物收入,全部,business,家族,语音,2000,2326,318538,274312.36,205828.05,5205,,17053,25397,,539,36981,2314,28493,198662,263427.6,361608.88,235636,74514.85,20260130
peipei,分成收入,tqbean_asset,finance,家族,视频,623,2902,226024,22716.91,334417.65,23949,,26356,13580,,509,49184,5859,33015,25592,458052.51,327910.56,109843,117714.25,20260130
shantang,礼物收入,tqbean_asset,business,直播,游戏,1709,2835,224669,165638.25,395503.59,15743,,30783,46104,,987,15856,1207,44368,104890,49710.83,247564.53,292138,96206.27,20260130
peipei,分成收入,tqbean_asset,business,趣聊,语音,1121,3936,353001,76849.47,426056.96,9409,,17211,43567,,283,24572,19010,22086,168427,11887.54,28901.74,179359,59157.48,20260130
taqu,充值收入,全部,business,直播,视频,1292,3753,124204,260214.2,239155.18,20306,,24740,6382,,439,864,13251,18487,130406,263075.96,386223.5,31163,5499.41,20260130
peipei,活动补贴,tqbean_asset,business,聊天室,充值,1259,2516,324251,468419.2,492957.91,32225,,45327,46784,,217,28683,37233,37119,337546,206388.29,495184.81,216694,150918.97,20260130
shantang,充值收入,shell_asset,finance,全端,游戏,1240,3093,82188,72636.07,77601.45,21450,,41408,26490,,8,10874,8348,16371,19584,64819.64,448319.79,150454,7790.59,20260130
fengyue,分成收入,tqbean_asset,finance,全端,语音,161,3022,271925,281931.01,21739.95,17196,,6703,33854,,339,33216,784,22073,36411,206408.87,215678.22,372054,108452.99,20260130
taqu,充值收入,全部,finance,趣聊,视频,1079,4532,154094,385662.06,242957.09,40252,,2204,38253,,781,12694,27281,5432,171119,70267.53,195454.03,169323,165825.56,20260130
shanlian,活动补贴,tqbean_asset,finance,社交,充值,327,2126,363897,277660.7,125531.05,35665,,25748,12543,,144,16011,30244,15381,242233,38404.71,183495.64,118679,188604.39,20260130
taqu,充值收入,shell_asset,business,直播,贝壳分成,1202,997,482390,131785.12,60760.84,49953,,16288,43878,,837,419,25115,5588,12848,131847.14,465339.69,413115,18502.98,20260130
peipei,礼物收入,全部,finance,聊天室,贝壳分成,645,3099,344864,338270.74,71507.29,19908,,47597,31863,,1147,36189,43848,13855,151763,31695.27,22633.24,137276,15698.39,20260130
taqu,礼物收入,全部,finance,帖子,送礼,1933,4606,332130,51784.34,4853.73,22400,,5631,45705,,474,10261,20634,41692,60735,222467.14,293623.19,1167,61943.55,20260130
fengyue,活动补贴,shell_asset,finance,直播,游戏,1525,2251,415437,23883.19,499661.94,25322,,29703,6559,,1352,32986,30066,34509,111505,34604.48,98966.26,137717,161864.84,20260130
shanlian,活动补贴,shell_asset,business,群聊,充值,1938,1249,239979,164061.13,488358.34,39298,,17615,3581,,1486,17545,1790,14580,112614,428925.72,468679.55,139211,51654.25,20260130
peipei,礼物收入,全部,finance,全端,充值,1246,872,371205,114379.68,373896.98,40296,,18935,5830,,1670,41292,26510,19690,37123,2153.5,192654.16,117517,33565.94,20260130
fengyue,充值收入,tqbean_asset,finance,家族,语音,1001,3248,126581,43794.56,418257.94,5322,,1753,34984,,831,42205,21776,19354,213387,393402.72,82871.81,118415,79232.96,20260130
fengyue,礼物收入,tqbean_asset,business,社交,视频,595,4268,209718,231939.57,150156.81,36793,,24810,41653,,1195,34001,38727,17801,266739,126162.81,34668.19,6352,179636.62,20260130
shantang,礼物收入,tqbean_asset,finance,群聊,视频,1634,3838,2059,376746.78,222257.89,14543,,42850,31488,,1175,20312,39027,12928,424120,100994.46,495115.21,19384,88830.24,20260130
taqu,礼物收入,shell_asset,finance,聊天室,游戏,1440,3466,436284,26035.41,18256.83,40375,,1548,11155,,548,18783,19249,5644,495354,485869.4,178336.17,445229,118383.62,20260130
fengyue,充值收入,tqbean_asset,finance,社交,贝壳分成,1355,4251,158879,331795.95,365205.62,45962,,22442,24512,,468,37194,7136,31460,406928,339853.01,409271.76,381101,46827.66,20260130
shantang,礼物收入,shell_asset,finance,直播,视频,1283,3311,182443,107221.17,192958.41,7318,,48476,40201,,1326,29908,15424,6800,238252,108227.96,283962.51,159089,152669.75,20260130
shantang,分成收入,全部,finance,社交,充值,1623,4588,431322,174497.99,263026.07,21598,,43335,15964,,314,31402,43178,25429,290145,226617.51,46244.39,367680,15648.18,20260130
shantang,充值收入,tqbean_asset,business,社交,游戏,799,3607,491376,16689.07,2931.8,23844,,36648,42014,,978,15007,20934,30310,318518,62647.7,440418.16,63666,77716.23,20260130
shanlian,分成收入,全部,finance,直播,语音,1536,2154,206121,151129.83,104312.96,38832,,35069,45479,,917,1020,6660,19396,347404,488590.15,322944.09,189068,97199.52,20260130
shantang,活动补贴,全部,finance,帖子,视频,1424,811,379741,270503.22,197559.86,48979,,38220,9890,,659,8266,39605,42496,28710,164633.54,310568.99,91034,77886.03,20260130
taqu,礼物收入,全部,finance,直播,送礼,1366,453,43601,408988.13,212066.2,27215,,4614,38366,,394,36821,16903,16539,404391,373492.54,313399.72,42939,27863.01,20260130
taqu,礼物收入,tqbean_asset,finance,帖子,贝壳分成,1564,1582,278321,426847.22,333004.71,24606,,37549,40926,,1565,44590,44996,46457,429873,280341.14,202439.5,67033,39328.43,20260130
shantang,礼物收入,shell_asset,business,聊天室,游戏,255,4045,354559,444484.0,489511.21,41162,,16057,41165,,1753,23776,20775,47489,219671,35103.64,69251.44,37655,154420.02,20260130
peipei,充值收入,tqbean_asset,business,趣聊,充值,1537,668,275916,363617.52,198817.62,18836,,7966,31502,,129,41816,41267,41115,376325,111672.16,14527.88,99396,82692.0,20260130
taqu,充值收入,shell_asset,finance,群聊,语音,1869,4992,309883,33058.81,423808.35,28478,,17951,979,,301,14767,37840,43674,35504,356508.52,367086.33,345290,35936.97,20260130
shanlian,充值收入,全部,business,趣聊,视频,1866,833,91648,190267.15,301251.48,30218,,38218,17041,,1732,40934,37202,21029,443369,430037.91,468141.21,164113,37001.82,20260130
peipei,活动补贴,shell_asset,business,群聊,贝壳分成,1065,2280,398522,480717.01,400717.41,48954,,41274,28128,,1494,35528,28508,33246,59226,436054.09,441896.87,38999,61822.05,20260130
shantang,礼物收入,shell_asset,business,帖子,送礼,1239,4257,12856,160237.28,249841.07,5581,,21885,20792,,712,38917,44224,43248,409854,347125.96,385461.71,477021,77731.29,20260130
shantang,分成收入,全部,finance,全端,充值,1888,2919,302580,48984.47,75972.03,46742,,47823,17461,,1953,15425,30668,11029,60937,206228.15,443162.24,208056,79053.96,20260130
taqu,充值收入,tqbean_asset,business,帖子,游戏,608,593,280592,398152.02,87604.55,20937,,22590,43115,,1207,37209,32093,30697,403472,113689.25,227686.46,480746,159331.09,20260130
shantang,分成收入,全部,business,家族,语音,138,4622,337378,408061.87,127427.94,29585,,17657,44707,,150,4219,31423,44263,113545,493819.5,481587.66,239101,2369.89,20260130
peipei,充值收入,shell_asset,business,群聊,贝壳分成,948,3531,54564,51705.04,182383.94,36412,,19114,47859,,420,13631,2007,944,284709,21480.61,198961.38,130676,6414.68,20260130
peipei,充值收入,全部,business,趣聊,贝壳分成,1144,1141,268056,233168.82,480774.29,11225,,7250,2576,,1398,46931,34190,34390,106285,41612.27,318338.35,120338,143253.82,20260130
shanlian,活动补贴,tqbean_asset,finance,社交,送礼,966,1095,3451,32026.71,224594.56,1474,,36071,19328,,1115,30799,16605,44133,36361,218426.77,358234.98,256930,122614.4,20260130
fengyue,分成收入,shell_asset,finance,帖子,充值,1279,2680,185326,166008.46,342215.62,1276,,1200,23817,,66,33637,7525,40530,159160,344317.8,384291.75,372247,25779.59,20260130
fengyue,充值收入,全部,finance,趣聊,送礼,429,3427,5628,498016.27,67320.19,15769,,21118,2509,,1527,42873,34665,15133,1478,352694.71,95200.33,142457,136560.57,20260130
shanlian,分成收入,shell_asset,finance,帖子,游戏,234,3561,402401,286563.71,424710.34,36716,,1974,39724,,1784,27233,46495,25978,115927,61983.94,420116.91,411335,85254.5,20260130
fengyue,活动补贴,tqbean_asset,finance,全端,充值,1757,11,133294,186908.16,454940.81,4212,,1236,25528,,892,25622,17295,38029,243430,2142.09,342887.12,150677,58029.97,20260130
shanlian,礼物收入,shell_asset,finance,直播,视频,833,2452,74816,290053.42,206437.08,45435,,11138,33798,,1200,8493,19380,6284,62398,179332.39,158925.57,9520,130839.39,20260130
fengyue,礼物收入,全部,finance,群聊,送礼,675,1330,371378,165708.31,79898.61,16026,,45633,10659,,1353,36220,3145,21258,263829,418726.64,96553.27,239090,129584.33,20260130
shanlian,活动补贴,shell_asset,finance,帖子,贝壳分成,1742,2507,260541,497529.24,87178.4,22273,,48899,44326,,1220,23863,3062,6980,45581,57905.74,164806.03,83444,163414.27,20260130
shanlian,充值收入,shell_asset,business,群聊,贝壳分成,1112,4523,282225,88584.15,20188.42,5403,,29172,18111,,1203,1224,15594,1302,133550,454237.98,179372.19,473122,106729.35,20260130
peipei,分成收入,tqbean_asset,business,直播,送礼,1636,2535,433490,450545.72,89045.44,14430,,24115,46040,,1965,45359,19334,43302,383169,182232.69,439640.81,23695,65197.0,20260130
shanlian,分成收入,shell_asset,business,群聊,视频,1227,4974,447002,44131.66,340309.71,29439,,38824,35930,,37,46441,20017,49715,173727,233867.94,485782.94,231814,174809.82,20260130
shanlian,礼物收入,shell_asset,finance,聊天室,游戏,1167,2921,278190,285220.07,455781.85,2554,,49578,7145,,1350,11002,11897,7620,407155,102553.01,189457.84,273514,119022.54,20260130
fengyue,礼物收入,全部,finance,直播,语音,939,3544,356913,374166.67,64952.35,33265,,41655,37864,,1201,40463,47285,14895,3687,343429.56,460340.86,147200,78083.18,20260130
taqu,充值收入,全部,business,聊天室,游戏,1810,4869,66398,233271.16,316700.6,21519,,45608,25817,,1868,14439,13844,34135,354816,242875.0,270501.58,272131,135325.23,20260130
shantang,分成收入,全部,finance,家族,游戏,1583,2115,406817,117426.03,287690.19,25947,,45657,15906,,1457,37255,560,42273,2135,235131.98,248220.73,149195,123095.31,20260130
peipei,活动补贴,shell_asset,business,社交,贝壳分成,1844,2069,455893,399985.45,138551.89,2832,,29615,26410,,1854,11164,48746,27921,71008,192800.69,385592.49,180019,56961.85,20260130
shantang,分成收入,shell_asset,finance,社交,贝壳分成,800,253,491091,400166.09,129557.78,22340,,37993,42746,,428,40057,33798,21586,328558,318415.2,431109.13,388377,10838.04,20260130
peipei,活动补贴,全部,business,群聊,视频,1039,1826,483358,335965.55,164932.83,43646,,36186,4721,,976,34488,20278,14292,160737,338595.25,244402.86,363553,42103.18,20260130
