question,conditions
"10日M-ATR爆发；RSI跌到20以下后,出现反转信号；股价在20元以下；非创业板；非科技板；非ST","[{""date"": ""2025-12-04"", ""factor"": ""10日m-atr爆发"", ""id"": ""3797"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""RSI.RSI1"", ""id"": ""c60[1]<20"", ""classid"": ""2"", ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort"": ""升序"", ""sort_type"": ""1""}, {""date"": ""2025-12-05"", ""factor"": ""RSI.RSI1"", ""id"": ""c60[1]>20"", ""classid"": ""2"", ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort"": ""降序"", ""sort_type"": ""2""}, {""date"": ""2025-12-04"", ""factor"": ""收盘价_不复权"", ""id"": ""c4<20"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""非创业板"", ""id"": ""7350"", ""classid"": 1, ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""非科创板"", ""id"": ""7349"", ""classid"": 1, ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""非ST板块"", ""id"": ""!651"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
截止最近一个交易日30日超大流入新高的个股有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""30日超大流入新高"", ""id"": ""1674"", ""classid"": 8, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
"长时间横盘突然放量,并且有长上影线的股票有哪些？","[{""date"": ""2025-12-04"", ""factor"": ""60日首次放量"", ""id"": ""3901"", ""classid"": 3, ""subclassid"": ""9"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""长期窄幅波动"", ""id"": ""47"", ""classid"": 2, ""subclassid"": ""5"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""单日放量流入"", ""id"": ""1267"", ""classid"": 8, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""上影线长度比例"", ""id"": ""c28"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
选出几个30日连阳新高的股票,"[{""date"": ""2025-12-04"", ""factor"": ""30日连阳新高"", ""id"": ""1433"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
涨停阳线换挡且属于茅概念的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""涨停阳线换挡"", ""id"": ""1209"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""茅概念"", ""id"": ""748"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
"主板30日均线上穿60日均线,站上5日均线的股票有哪些","[{""date"": ""2025-12-04"", ""factor"": ""沪深主板等权"", ""id"": ""942"", ""classid"": ""1"", ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""30日均线"", ""id"": ""c21[6]>c21[7]"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""上穿5日线"", ""id"": ""1506"", ""classid"": ""3"", ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
明泓量化卖出的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""明泓量化卖出"", ""id"": ""4140"", ""classid"": 8, ""subclassid"": ""4"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
作手新一买入的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""作手新一买入"", ""id"": ""4129"", ""classid"": 8, ""subclassid"": ""4"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
当日连板的核电SMR相关股票有哪些,"[{""date"": ""2025-12-05"", ""factor"": ""当日连板"", ""id"": ""7036"", ""classid"": 2, ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-05"", ""factor"": ""核电"", ""id"": ""329"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
今年已公告收购或重组蕊片公司或机器人相关的公司？,"[{""date"": ""2025-12-04"", ""factor"": ""并购重组"", ""id"": ""7239"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""芯片概念|机器人概念"", ""id"": ""627|2741"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
截止最近一个交易日120日超大流入新高的个股有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""120日超大流入新高"", ""id"": ""1676"", ""classid"": 8, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
截止最近一个交易日60日超大流入新高的个股有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""60日超大流入新高"", ""id"": ""1675"", ""classid"": 8, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
多头蓄力的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""多头蓄力"", ""id"": ""3679"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
"KDJ死叉的,科创板,上市公司","[{""date"": ""2025-12-04"", ""factor"": ""kdj死叉"", ""id"": ""97"", ""classid"": 3, ""subclassid"": ""4"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""科创板等权"", ""id"": ""939"", ""classid"": 1, ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
哪些股票属于机构近期评级买入,"[{""date"": ""2025-12-04"", ""factor"": ""机构近期评级买入"", ""id"": ""851"", ""classid"": 6, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
目前K线呈5日M-ATR异动形态的股票有哪些？,"[{""date"": ""2025-12-04"", ""factor"": ""5日m-atr异动"", ""id"": ""3782"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
帮我选出60日线中期波幅新低的股,"[{""date"": ""2025-12-04"", ""factor"": ""60日线中期波幅新低"", ""id"": ""1782"", ""classid"": 3, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
20日均偏新低的，人型机器人公司股价在7元上下的有哪几家？,"[{""date"": ""2025-12-04"", ""factor"": ""20日均偏新低"", ""id"": ""3670"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""人形机器人"", ""id"": ""7030"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""收盘价_不复权"", ""id"": ""c4>=6.3"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""收盘价_不复权"", ""id"": ""c4<=7.7"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
OBV阶段新低的个股有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""obv阶段新低"", ""id"": ""1660"", ""classid"": 3, ""subclassid"": ""11"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
固态电池相关的股票和龙头股,"[{""date"": ""2025-12-04"", ""factor"": ""固态电池"", ""id"": ""663"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""月度强势"", ""id"": ""3"", ""classid"": ""2"", ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
连阳首阴的股票,"[{""date"": ""2025-12-04"", ""factor"": ""连阳首阴"", ""id"": ""1444"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
5元以下且动态换手90日预警的股票,"[{""date"": ""2025-12-04"", ""factor"": ""收盘价_不复权"", ""id"": ""c4<=5"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""动态换手90日预警"", ""id"": ""4018"", ""classid"": 3, ""subclassid"": ""9"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
30日MACD强力金叉的股票,"[{""date"": ""2025-12-04"", ""factor"": ""30日macd强力金叉"", ""id"": ""1528"", ""classid"": 3, ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
60日量价波动预警的股票,"[{""date"": ""2025-12-04"", ""factor"": ""60日量价波动预警"", ""id"": ""1712"", ""classid"": 2, ""subclassid"": ""5"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
前2月销额累计值同比稳增的半导体股有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""半导体"", ""id"": ""547"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
现金奶牛的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""现金奶牛"", ""id"": ""938"", ""classid"": 4, ""subclassid"": ""4"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
半导体龙头股,"[{""date"": ""2025-12-04"", ""factor"": ""半导体"", ""id"": ""547"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""月度强势"", ""id"": ""3"", ""classid"": ""2"", ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
低位10日BIAS飙升上穿20日线,"[{""date"": ""2025-12-04"", ""factor"": ""10日bias飙升"", ""id"": ""3737"", ""classid"": 3, ""subclassid"": ""10"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""上穿20日线"", ""id"": ""1508"", ""classid"": 3, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
90日换手变动创长期新低的人形机器人概念股有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""90日换手变动长期新低"", ""id"": ""3883"", ""classid"": 3, ""subclassid"": ""9"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""人形机器人"", ""id"": ""7030"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
请选出出现120日BIAS强突信号的个股,"[{""date"": ""2025-12-04"", ""factor"": ""120日bias强突"", ""id"": ""3772"", ""classid"": 3, ""subclassid"": ""10"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
涉及CCI空头10日释放的上市公司有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""cci空头10日释放"", ""id"": ""1822"", ""classid"": 3, ""subclassid"": ""6"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
深股通买入的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""深股通买入"", ""id"": ""4119"", ""classid"": 8, ""subclassid"": ""4"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
旅游股票且10日均偏新高,"[{""date"": ""2025-12-04"", ""factor"": ""旅游及景区"", ""id"": ""3468"", ""classid"": 1, ""subclassid"": ""11"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""10日均偏新高"", ""id"": ""3662"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
智能人形机器人龙头股有那些？,"[{""date"": ""2025-12-04"", ""factor"": ""人形机器人"", ""id"": ""7030"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""月度强势"", ""id"": ""3"", ""classid"": 2, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
帮我筛选出CCI通道死叉_短的新能源相关股票,"[{""date"": ""2025-12-04"", ""factor"": ""cci通道死叉_短"", ""id"": ""1248"", ""classid"": 3, ""subclassid"": ""6"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""新能源"", ""id"": ""294"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
券商板块中连阳涌动的有哪些？,"[{""date"": ""2025-12-04"", ""factor"": ""券商"", ""id"": ""266"", ""classid"": 1, ""subclassid"": ""1"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""连阳涌动"", ""id"": ""3985"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
帮我找5日换手变动新高，市值≤100亿，利润增长≥30%的股票,"[{""date"": ""2025-12-04"", ""factor"": ""5日换手变动新高"", ""id"": ""3854"", ""classid"": 3, ""subclassid"": ""9"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""总市值"", ""id"": ""c42<=100.0亿元"", ""classid"": ""1"", ""subclassid"": ""8"", ""back_test_type"": ""1"", ""sort"": ""升序"", ""sort_type"": ""1""}, {""date"": ""2025-12-04"", ""factor"": ""净利润增长"", ""id"": ""c103[1]>=30%"", ""classid"": ""3"", ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
OBV阶段新高的股票有哪些？,"[{""date"": ""2025-12-04"", ""factor"": ""obv阶段新高"", ""id"": ""1653"", ""classid"": 3, ""subclassid"": ""11"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
算力股票有哪些？,"[{""date"": ""2025-12-04"", ""factor"": ""算力概念"", ""id"": ""790"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
"前天涨停,昨天收大阴的票","[{""date"": ""2025-12-04"", ""factor"": ""前日涨停"", ""id"": ""6852"", ""classid"": 2, ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""formulaText"": ""选股: REF(C,1)/REF(C,2) < 0.95 AND REF(C,1) < REF(O,1);"", ""logicText"": ""昨日收大阴线"", ""back_test_type"": 1, ""sort_type"": 0, ""fieldMap"": {""昨日"": ""REF(C,1)"", ""大阴线"": ""C/REF(C,1) < 0.95 AND C < O""}, ""reverse_fieldMap"": {""REF(C,1)"": ""昨日"", ""C/REF(C,1) < 0.95 AND C < O"": ""大阴线""}, ""date"": ""2025-12-04""}]"
电力股有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""电力"", ""id"": ""3405"", ""classid"": 1, ""subclassid"": ""11"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
120日M-ATR异动，且高分红的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""120日m-atr异动"", ""id"": ""3822"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""高派息"", ""id"": ""175"", ""classid"": ""1"", ""subclassid"": ""3"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
120日人气意愿高涨的小盘股，个股大资金流入,"[{""date"": ""2025-12-04"", ""factor"": ""120日人气意愿高涨"", ""id"": ""1900"", ""classid"": 3, ""subclassid"": ""12"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""小盘"", ""id"": ""142"", ""classid"": 1, ""subclassid"": ""3"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""超大单流入"", ""id"": ""1397"", ""classid"": 8, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
MACD短期强金叉的股票,"[{""date"": ""2025-12-04"", ""factor"": ""macd短期强金叉"", ""id"": ""1525"", ""classid"": 3, ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
存储芯片概念中，近期5日内KD多次金叉的公司有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""存储概念"", ""id"": ""3642"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""kd短期多金叉"", ""id"": ""1529"", ""classid"": 3, ""subclassid"": ""4"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
高股息的核电SMR相关股票有哪些,"[{""date"": ""2025-12-05"", ""factor"": ""高股息股"", ""id"": ""7215"", ""classid"": 4, ""subclassid"": ""6"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-05"", ""factor"": ""核电"", ""id"": ""329"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
短期MATR杀跌的ST股，且业绩预告扭亏为盈,"[{""date"": ""2025-12-04"", ""factor"": ""短期matr杀跌"", ""id"": ""3931"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""st板块"", ""id"": ""651"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""业绩预告扭亏为盈"", ""id"": ""1171"", ""classid"": 5, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
月度弱势的两阳夹一阴股票,"[{""date"": ""2025-12-04"", ""factor"": ""月度弱势"", ""id"": ""8"", ""classid"": 2, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""多方炮"", ""id"": ""60"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
从2025年发布的中季报数据选出PSY大于60的人工智能板块上市公司,"[{""date"": ""2025-10-17"", ""factor"": ""PSY"", ""id"": ""c54>60"", ""classid"": ""2"", ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-05"", ""factor"": ""人工智能"", ""id"": ""415"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
红太阳的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""红太阳"", ""id"": ""68"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
近二百五十日成交量创近期新高的股票,"[{""date"": ""2025-12-04"", ""factor"": ""250日高量"", ""id"": ""1387"", ""classid"": 3, ""subclassid"": ""9"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
30日量价波动预警的股票,"[{""date"": ""2025-12-04"", ""factor"": ""30日量价波动预警"", ""id"": ""1711"", ""classid"": 2, ""subclassid"": ""5"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
出现光脚阳线的宠物消费股有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""光脚阳线"", ""id"": ""1339"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""宠物经济"", ""id"": ""820"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
找出持续放量的股票,"[{""date"": ""2025-12-04"", ""factor"": ""量能持续放大"", ""id"": ""121"", ""classid"": 3, ""subclassid"": ""9"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
券商板块中超大阳线的有哪些？,"[{""date"": ""2025-12-04"", ""factor"": ""券商"", ""id"": ""266"", ""classid"": 1, ""subclassid"": ""1"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""超大阳线"", ""id"": ""3989"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
10日线长期波幅新高的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""10日线长期波幅新高"", ""id"": ""1761"", ""classid"": 3, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
"均线多头排列,量比大于2,换手率大于百分之十的股票","[{""date"": ""2025-12-04"", ""factor"": ""短期均线多头"", ""id"": ""73"", ""classid"": ""3"", ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""量比"", ""id"": ""c39>2"", ""classid"": ""1"", ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""1日换手率"", ""id"": ""c37[1]>10%"", ""classid"": ""1"", ""subclassid"": ""6"", ""back_test_type"": ""2"", ""sort"": ""降序"", ""sort_type"": ""2""}]"
20日乖离波动预警的小盘股，个股大资金流入,"[{""date"": ""2025-12-04"", ""factor"": ""20日乖离波动预警"", ""id"": ""1890"", ""classid"": 3, ""subclassid"": ""10"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""小盘"", ""id"": ""142"", ""classid"": 1, ""subclassid"": ""3"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""超大单流入"", ""id"": ""1397"", ""classid"": 8, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
一阳指形态的股票有哪些？,"[{""date"": ""2025-12-04"", ""factor"": ""一阳指"", ""id"": ""1152"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
